Serial Title,ISSN (Print),ISSN (Electronic),Publisher Name,Country of Publication,International Bibliography of the Social Sciences (IBSS)
Economic history review,0013-0117,,Wiley-Blackwell,United Kingdom,Core Coverage - Actively Indexed
Economic inquiry,0095-2583,1465-7295,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Economic issues,1363-7029,,Stafford University Business School,United Kingdom,Core Coverage - Actively Indexed
Economic journal,0013-0133,,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Economic modelling,0264-9993,,Elsevier Science,United Kingdom,Core Coverage - Actively Indexed
Economic papers [Australia],0812-0439,1759-3441,Wiley-Blackwell Publishing Ltd,Australia,Core Coverage - Actively Indexed
Economic papers. Bank of Korea,1226-7589,,"Institute for Monetary & Economic Research, The Bank of Korea",South Korea,Core Coverage - Actively Indexed
Economic policy,0266-4658,1468-0327,Wiley-Blackwell Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Economic record,0013-0249,1475-4932,Wiley-Blackwell Publishing Asia,Australia,Core Coverage - Actively Indexed
Economic systems,0939-3625,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Economic systems research,0953-5314,1469-5758,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Economic theory,0938-2259,,Springer,Germany,Core Coverage - Actively Indexed
Economica [London],0013-0427,1468-0335,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Economics and finance in Indonesia,0126-155X,,Institute for Economics and Social Research,Indonesia,Core Coverage - Actively Indexed
Economics and philosophy,0266-2671,,Cambridge University Press,U.S.A.,Core Coverage - Actively Indexed
Economics and politics,0954-1985,1468-0343,Wiley-Blackwell Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Economics letters,0165-1765,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Economics of innovation and new technology,1043-8599,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Economics of transition,0967-0750,,Blackwell Publishing,United Kingdom,Core Coverage - Actively Indexed
"Economics, management and financial markets",1842-3191,,Addleton Academic Publishers,U.S.A.,Core Coverage - Actively Indexed
"Economics: open-access, open-assessment e-journal",1864-6042,,Kiel Institute of World Economics,Germany,Selective Coverage - Actively Indexed
Economie appliquee,0013-0494,,ISMEA,France,Core Coverage - Actively Indexed
Economie et prevision,0249-4744,,Direction generale du Tresor et de la Politique economique,France,Core Coverage - Actively Indexed
Economie et statistique,0336-1454,,Institut national de la statistique et des etudes economiques,France,Core Coverage - Actively Indexed
Economie internationale,1240-8093,,Elsevier,France,Core Coverage - Actively Indexed
Economie politique,1293-6146,,Alternatives economiques,France,Core Coverage - Actively Indexed
Economie rurale,0013-0559,,Societe Francaise d'Economie Rurale,France,Core Coverage - Actively Indexed
Economies et societes,0013-0567,,Presses de l'Institut de Sciences Mathematiques et Economiques Appliquees,France,Core Coverage - Actively Indexed
Economy and society,0308-5147,1469-5766,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
"Educacao, Sociedade & Culturas",0872-7643,,Universidade do Porto,Portugal,Core Coverage - Actively Indexed
Education and urban society,0013-1245,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Education economics,0964-5292,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Education et societes,1373-847X,,De Boeck & Larcier,Belgium,Selective Coverage - Actively Indexed
"Education, citizenship and social justice",1746-1979,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Educational philosophy and theory,0013-1857,,Blackwell Publishing,United Kingdom,Core Coverage - Actively Indexed
Educational research,0013-1881,1469-5847,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Educational review,0013-1911,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Educational studies,0305-5698,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Egypte Contemporaine,0013-239X,,Institut francais d'archeologie orientale,Egypt,Core Coverage - Actively Indexed
EIRP proceedings,2069-9344,,Danubius University of Galati,Romania,Core Coverage - Actively Indexed
Ekonomi bilimleri dergisi,1309-8020,,Social Sciences Research Society,Turkey,Core Coverage - Actively Indexed
Ekonomia,1025-5508,,Cyprus Economic Society,Cyprus,Core Coverage - Actively Indexed
Ekonomie a management,1212-3609,,Technicka univerzita v Liberci,Czech Republic,Core Coverage - Actively Indexed
Ekonomika,1392-1258,,Vilnius University Publishing House,Lithuania,Core Coverage - Actively Indexed
Ekonomika Ukraini,0131-775X,,Presa Ukraini,Ukraine,Core Coverage - Actively Indexed
Ekonomisk debatt,0345-2646,,Nationalekonomiska Foereningen,Sweden,Core Coverage - Actively Indexed
Ekonomiska samfundets tidskrift,0013-3183,,"Ekonomiska Samfundet i Finland, Svenska handelshogskolan, Institutionen for marknadsforing",Finland,Core Coverage - Actively Indexed
Ekonomist,0869-4672,,Ekonomist,Russia,Core Coverage - Actively Indexed
Ekonomski pregled,0424-7558,,Hrvatsko Drustvo Ekonomista,Croatia,Core Coverage - Actively Indexed
Electoral studies,0261-3794,,Elsevier Science,United Kingdom,Core Coverage - Actively Indexed
Electronic journal of contemporary Japanese studies,1476-9158,,University of Sheffield,United Kingdom,Core Coverage - Actively Indexed
Electronic journal of information systems evaluation,1566-6379,,Academic Conferences Ltd.,United Kingdom,Core Coverage - Actively Indexed
Electronic journal of information systems in developing countries,1681-4835,,City University of Hong Kong,China,Core Coverage - Actively Indexed
Electronic journal of research in educational psychology,1696-2095,,Universidad de Almeria,Spain,Core Coverage - Actively Indexed
Electronic markets: the international journal of electronic commerce and business media,1019-6781,,Springer,Netherlands,Core Coverage - Actively Indexed
Empirica,0340-8744,1573-6911,Springer,Netherlands,Core Coverage - Actively Indexed
Empirical economics,0377-7332,,Physica-Verlag,Germany,Core Coverage - Actively Indexed
Encounters on education,1494-4936,,Faculty of education,Canada,Core Coverage - Actively Indexed
Encuentro,2220-7112,,UCA Publicaciones,Nicaragua,Core Coverage - Actively Indexed
Energy economics,0140-9883,,Elsevier Science,United Kingdom,Core Coverage - Actively Indexed
Energy policy,0301-4215,,Elsevier Science,United Kingdom,Core Coverage - Actively Indexed
English in Africa,0376-8902,,"Rhodes University, Institute for the Study of English in Africa",South Africa,Core Coverage - Actively Indexed
English world-wide,0172-8865,,John Benjamins Publishing,Netherlands,Core Coverage - Actively Indexed
Ensayos sobre politica economica,0120-4483,,"Banco de la Republica, Subgerenica de Estudios Economicos",Colombia,Core Coverage - Actively Indexed
Enterprise and society: the international journal of business history,1467-2227,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
Enterprise development and microfinance,1755-1978,,Practical Action Publishing,United Kingdom,Core Coverage - Actively Indexed
Entrepreneurship and regional development,0898-5626,1464-5114,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Entrepreneurship: theory and practice,1042-2587,1540-6520,Wiley-Blackwell Publishing Ltd.,U.S.A.,Core Coverage - Actively Indexed
Entreprises et histoire,1161-2770,,Editions ESKA,France,Core Coverage - Actively Indexed
Environment and behavior,0013-9165,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Environment and history,0967-3407,,White Horse Press,United Kingdom,Core Coverage - Actively Indexed
Environment and planning A,0308-518X,,Pion Ltd,United Kingdom,Core Coverage - Actively Indexed
Environment and planning B: Planning and design,0265-8135,,Pion Ltd.,United Kingdom,Core Coverage - Actively Indexed
Environment and planning C: Government and policy,0263-774X,,Pion Ltd,United Kingdom,Core Coverage - Actively Indexed
Environment and planning D: Society and space,0263-7758,,Pion Ltd,United Kingdom,Core Coverage - Actively Indexed
Environment and urbanization,0956-2478,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Environment and urbanization Asia,0975-4253,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
"Environment, development and sustainability",1387-585X,,Springer,Netherlands,Core Coverage - Actively Indexed
Environment: science and policy for sustainable development,0013-9157,1939-9154,Taylor & Francis,United Kingdom,Core Coverage - Actively Indexed
Environmental and resource economics,0924-6460,,Springer,Netherlands,Core Coverage - Actively Indexed
Environmental economics,1998-6041,1998-605X,Business Perspectives Publishing Company,Ukraine,Core Coverage - Actively Indexed
Environmental economics and policy studies,1432-847X,,Springer Verlag,Japan,Core Coverage - Actively Indexed
Environmental hazards: human and policy dimensions,1747-7891,,Earthscan Journals,United Kingdom,Core Coverage - Actively Indexed
Environmental impact assessment review,0195-9255,,Elsevier Science,U.S.A.,Core Coverage - Actively Indexed
Environmental law,0046-2276,,"Northwestern School of Law, Lewis and Clark College",U.S.A.,Core Coverage - Actively Indexed
Environmental policy and governance,1756-932X,,John Wiley & Sons Ltd,United Kingdom,Core Coverage - Actively Indexed
Environmental politics,0964-4016,1743-8934,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Environmental science and policy,1462-9011,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Environmental values,0963-2719,,White Horse Press,United Kingdom,Core Coverage - Actively Indexed
"Equality, diversity and inclusion",2040-7149,,Emerald Group Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Erasmus law review,2210-2671,,Erasmus Universiteit Rotterdam,Netherlands,Core Coverage - Actively Indexed
Erdelyi pszichologiai szemle,1454-797X,,Cluj University Press,Romania,Core Coverage - Actively Indexed
Erziehungswissenschaft,0938-5363,,VS Verlag fur Sozialwissenschaften,Germany,Core Coverage - Actively Indexed
ESARBICA journal: Journal of the Eastern and Southern Africa Regional Branch of the International Council on Archives,2220-6442,,Eastern and Southern Africa Regional Branch of the International Council on Archives,South Africa,Core Coverage - Actively Indexed
Espace geographique,0046-2497,,Editions Belin,France,Core Coverage - Actively Indexed
Espaces et societes,0014-0481,,Editions Eres,France,Selective Coverage - Actively Indexed
Espacio abierto,1315-0006,,Universidad del Zulia,Venezuela,Core Coverage - Actively Indexed
Esprit,0014-0759,,Esprit,France,Selective Coverage - Actively Indexed
ESSACHESS - Journal for communication studies,2066-5083,1775-352X,"Universite Paul Valery de Montpellier 3, France/ Paul Valery University of Montpellier 3",France,Core Coverage - Actively Indexed
Estudios de derecho,0120-1867,,Universidad de Antioquia,Colombia,Core Coverage - Actively Indexed
Estudios de economia,0304-2758,,"Universidad de Chile, Departamento de Economia",Chile,Core Coverage - Actively Indexed
Estudios demograficos y urbanos,0186-7210,,"Colegio de Mexico, Centro de Estudios Demograficos y de Desarrollo Urbano",Mexico,Core Coverage - Actively Indexed
Estudios economicos [Mexico City],0188-6916,,Colegio de Mexico,Mexico,Core Coverage - Actively Indexed
Estudios interdisciplinarios de America Latina y el Caribe,0792-7061,,Instituto de Historia y Cultura de America Latina,Israel,Core Coverage - Actively Indexed
Estudios Latinoamericanos [Poznan],0137-3080,,Instituto de Etnologia y Antropologia,Poland,Selective Coverage - Actively Indexed
Estudios politicos [Medellin],0121-5167,,Universidade de Antioqua,Colombia,Core Coverage - Actively Indexed
Estudios politicos [Mexico City],0185-1616,,"Universidad Nacional Autonoma de Mexico, Facultad de Ciencias Politicas y Sociales",Mexico,Core Coverage - Actively Indexed
Estudios sobre educacion,1578-7001,,Universidad de Navarra,Spain,Core Coverage - Actively Indexed
Estudios sobre el Mensaje Periodistico,1134-1629,,Universidad Complutense de Madrid,Spain,Core Coverage - Actively Indexed
Estudios sociologicos,0185-4186,,Colegio de Mexico,Mexico,Core Coverage - Actively Indexed
Estudos ibero-americanos,0101-4064,,Pontificia Universidade Catolica do Rio Grande do Sul,Brazil,Core Coverage - Actively Indexed
Etat de l'Union Europeenne,1295-618X,,Fayard,France,Core Coverage - Actively Indexed
Ethical theory and moral practice,1386-2820,,Springer,Netherlands,Core Coverage - Actively Indexed
Ethics,0014-1704,,University of Chicago Press,U.S.A.,Core Coverage - Actively Indexed
Ethics and global politics,1654-6369,,Co-Action Publishing,Sweden,Core Coverage - Actively Indexed
Ethics and international affairs,0892-6794,,Wiley-Blackwell,U.S.A.,Core Coverage - Actively Indexed
"Ethics, policy and environment",2155-0085,,"Carfax Publishing, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Ethnic and racial studies,0141-9870,1466-4356,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Ethnicities,1468-7968,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Ethnicity and health,1355-7858,,Taylor & Francis,United Kingdom,Core Coverage - Actively Indexed
Ethnography,1466-1381,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Ethnohistory,0014-1801,,Duke University Press,U.S.A.,Core Coverage - Actively Indexed
Ethnologia Balkanica: journal for Southeast European anthropology,,,Prof. Marin Drinov Academic Publishing House,Bulgaria,Core Coverage - Actively Indexed
Ethnologia Europeae Centralis/Journal of Ethnology of Central Europe/Casopis pro narodopis stredni Evropy/Pismo poswiecone etnologii srodkowej Europy,1210-1109,,EASA (European Association of Society Anthropologists),Czech Republic,Selective Coverage - Actively Indexed
Ethnologie francaise,0046-2616,,Presses Universitaires de France,France,Core Coverage - Actively Indexed
Ethnologies,1481-5974,,Folklore Studies Association of Canada / L'Association canadienne d'ethnologie et de folklore,Canada,Core Coverage - Actively Indexed
Ethnology,0014-1828,,University of Pittsburgh,U.S.A.,Core Coverage - Actively Indexed
Ethnomusicology,0014-1836,,University of Illinois Press,U.S.A.,Core Coverage - Actively Indexed
Ethnomusicology forum,1741-1912,,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Ethnopolitics,1744-9057,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Ethnos,0014-1844,1469-588X,Taylor and Francis Ltd,Sweden,Core Coverage - Actively Indexed
Ethos,0091-2131,1548-1352,Wiley-Blackwell Publishing Ltd,U.S.A.,Core Coverage - Actively Indexed
Etnografia e ricerca qualitativa,1973-3194,,il Mulino,Italy,Core Coverage - Actively Indexed
Etnografia nowa,2080-8747,,State Ethnographic Museum in Warsaw,Poland,Selective Coverage - Actively Indexed
Etnograficheskoe obozrenie,0869-5415,,Izdatel'stvo Nauka,Russia,Core Coverage - Actively Indexed
Etnolingwistyka: problemy jezyka i kultury,,,Wydawnictwo Uniwersytetu Marii Curie-Sklodowskiej,Poland,Selective Coverage - Actively Indexed
Etnolingwistyka: problemy jezyka i kultury,0860-8032,,Wydawnicto Uniwersytetu Marii Skodowskiej-Curie,Poland,Selective Coverage - Actively Indexed
Etnoloska tribina,0351-1944,,Hrvatsko etnolosko drustvo,Croatia,Core Coverage - Actively Indexed
Etudes,0014-1941,,Ministere des affaires etrangeres,France,Selective Coverage - Actively Indexed
Etudes balkaniques,0324-1645,,Bulgarian Academy of Sciences,Bulgaria,Core Coverage - Actively Indexed
Etudes internationales,0014-2123,,Institut Quebecois des Hautes Etudes Internationales,Canada,Selective Coverage - Actively Indexed
Etudes inuit/Inuit studies,0701-1008,,"Inuksiutit Katimajiit Association, Inc.",Canada,Core Coverage - Actively Indexed
Etudes maliennes,0378-2034,,Institut des Sciences Humaines,Mali,Core Coverage - Actively Indexed
Etudes mongoles et siberiennes,0766-507S,,Centre d'etudes mongoles et siberiennes,France,Core Coverage - Actively Indexed
Etudes rurales,0014-2182,,Editions de l'EHESS,France,Core Coverage - Actively Indexed
Eurasian business review,1309-4297,,Eurasia Business and Economics Society (EBES),Turkey,Core Coverage - Actively Indexed
Eurasian economic review,1309-422X,,Eurasia Business and Economics Society (EBES),Turkey,Core Coverage - Actively Indexed
Eurasian journal of business and economics,1694-5948,1694-5972,"Eurasian Journal of Business and Economics, International Ataturk Alatoo University",Kyrgyzstan,Core Coverage - Actively Indexed
Eurasian studies yearbook,0042-0786,,Eurolingua,U.S.A.,Core Coverage - Actively Indexed
Eure: Revista latinoamericana de estudios urbanos regionales,0717-6236,,"Pontificia Universidad Catolica de Chile,                     Instituto de Estudios Urbanos",Chile,Core Coverage - Actively Indexed
EuroEconomica,1582-8859,2065-3883,Danubius University of Galati,Romania,Core Coverage - Actively Indexed
Europa ethnica,0014-2492,,Facultas Verlags und Buchhandels AG,Austria,Core Coverage - Actively Indexed
Europa XXI,1429-7132,,"Institute of Geography and Spatial Organization, Polish Academy of Sciences",Poland,Core Coverage - Actively Indexed
Europai Tukor,1416-7484,,Strategiai Elemzo Kozpont,Hungary,Selective Coverage - Actively Indexed
Europarecht,0531-2485,,Nomos Verlagsgesellschaft,Germany,Core Coverage - Actively Indexed
European accounting review,0963-8180,1468-4497,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
European constitutional law review,1574-0196,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
European countryside,1803-8417,,Versita,Poland,Core Coverage - Actively Indexed
European criminal law review,2191-7442,,Hart Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
European economic review,0014-2921,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
European financial management,1354-7798,,Blackwell Publishing,United Kingdom,Core Coverage - Actively Indexed
European foreign affairs review,1384-6299,,Kluwer Law International,Netherlands,Core Coverage - Actively Indexed
European history quarterly,0265-6914,,Sage Publications Ltd.,United Kingdom,Core Coverage - Actively Indexed
European integration online papers,1027-5193,,Institute for European Integration Research,Austria,Core Coverage - Actively Indexed
European journal of archaeology,1461-9571,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
European journal of communication,0267-3231,,Sage Publications Ltd,United Kingdom,Core Coverage - Actively Indexed
European journal of comparative economics,1824-2979,,Universita Carlo Cattaneo,Italy,Core Coverage - Actively Indexed
"European journal of crime, criminal law and criminal justice",0928-9569,,Brill,Netherlands,Core Coverage - Actively Indexed
European journal of criminology,1477-3708,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
European journal of cultural studies,1367-5494,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
European journal of development research,0957-8811,,Palgrave Macmillan,United Kingdom,Core Coverage - Actively Indexed
European journal of finance,1351-847X,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
European journal of industrial relations,0959-6801,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
European journal of international relations,1354-0661,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
European journal of law and economics,0929-1261,,Springer,Netherlands,Core Coverage - Actively Indexed
European journal of philosophy,0966-8373,1468-0378,Wiley-Blackwell Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
European journal of political economy,0176-2680,,Elsevier Science BV,Netherlands,Core Coverage - Actively Indexed
European journal of political research,0304-4130,,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
European journal of political theory,1474-8851,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
European journal of population/Revue europeenne de demographie,0168-6577,,Springer,Netherlands,Core Coverage - Actively Indexed
European journal of risk regulation,1867-299X,,Lexxion Verlagsgesellschaft mbH,Germany,Core Coverage - Actively Indexed
European journal of social psychology,0046-2772,1099-0992,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
European journal of social security,1388-2627,,Intersentia,Belgium,Core Coverage - Actively Indexed
European journal of social theory,1368-4310,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
European journal of social work,1369-1457,,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
European journal of the history of economic thought,0967-2567,1469-5936,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
European journal of women's studies,1350-5068,,Sage Publications Ltd,United Kingdom,Core Coverage - Actively Indexed
European journal on criminal policy and research,0928-1371,,Springer,Netherlands,Core Coverage - Actively Indexed
European law journal,1351-5993,,Blackwell Publishing,United Kingdom,Core Coverage - Actively Indexed
European legacy: towards new paradigms,1084-8770,,"Carfax Publishing, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
European management journal,0263-2373,,"Pergamon, Elsevier Science Ltd",United Kingdom,Core Coverage - Actively Indexed
European management review,1740-4754,,Palgrave Macmillan,United Kingdom,Core Coverage - Actively Indexed
European perspectives: journal on European perspective of the Western Balkans,1855-7694,1855-9131,Centre for European Perspective,Slovenia,Core Coverage - Actively Indexed
European planning studies,0965-4313,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
European political science,1680-4333,,Palgrave Macmillan,United Kingdom,Core Coverage - Actively Indexed
European review,1062-7987,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
European review of agricultural economics,0165-1587,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
European review of applied sociology,2286-2102,2286-2552,"West University of Timisoara, Department of Sociology",Romania,Core Coverage - Actively Indexed
European review of history/Revue europeenne d'histoire,1350-7486,1469-8293,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
European review of Latin American and Caribbean studies/Revista europea de estudios latinoamericanos y del Caribe,0924-0608,,Centre for Latin American Research and Documentation,Netherlands,Core Coverage - Actively Indexed
European security,0966-2839,1746-1545,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
European societies,1461-6696,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
European sociological review,0266-7215,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
European spatial research and policy,1231-1952,1896-1525,Versita,Poland,Core Coverage - Actively Indexed
European Union politics,1465-1165,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
European urban and regional studies,0969-7764,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
European-Asian journal of law and governance,2229-094X,,"Institute of Thammasat University, Thailand",Thailand,Core Coverage - Actively Indexed
Europe-Asia studies,0966-8136,1465-3427,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Europeens,1608-9162,,Fondation Robert Schuman,France,Core Coverage - Actively Indexed
Evaluation,1356-3890,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Evaluation review,0193-841X,,Sage Publications Ltd,U.S.A.,Core Coverage - Actively Indexed
Evidence and policy,1744-2648,,Policy Press,United Kingdom,Core Coverage - Actively Indexed
Evkonyv,1216-7851,,1956-os Intezet,Hungary,Core Coverage - Actively Indexed
Evolution and human behavior,1090-5138,,Elsevier Science,U.S.A.,Core Coverage - Actively Indexed
Evolutionary anthropology,1060-1538,1520-6505,Wiley-Blackwell Publishing Ltd.,U.S.A.,Core Coverage - Actively Indexed
Experimental economics,1386-4157,,Springer,Netherlands,Core Coverage - Actively Indexed
Explorations in economic history,0014-4983,,Academic Press,U.S.A.,Core Coverage - Actively Indexed
"Extreme-orient, extreme-occident: Cahiers de recherches comparatives",0754-5010,,"Presses Universitaires de Vincennes, Centre de recherche",France,Core Coverage - Actively Indexed
Fabula,0014-6242,,Walter de Gruyter GmbH,Germany,Core Coverage - Actively Indexed
Family and community history,1463-1180,,Maney Publishing,United Kingdom,Core Coverage - Actively Indexed
Family law,0014-7281,,Family Law,United Kingdom,Core Coverage - Actively Indexed
Family relations: interdisciplinary journal of applied family studies,0197-6664,,Blackwell Publishing,United Kingdom,Core Coverage - Actively Indexed
Family science,1942-4620,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
"Far Eastern affairs: a Russian journal on China, Japan and Asia-Pacific",0206-149X,,East View Publications,U.S.A.,Core Coverage - Actively Indexed
"Fashion theory: the journal of dress, body & culture",1362-704X,,Berg Publishers,United Kingdom,Core Coverage - Actively Indexed
Federalist,0393-1358,,EDIF,Italy,Core Coverage - Actively Indexed
Felsefe ve Sosyal Bilimler Dergisi,1306-9535,,SDU Fen-Edebiyat Fakultesi Felsefe Bolumu,Turkey,Core Coverage - Actively Indexed
Feminism and psychology,0959-3535,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Feminist economics,1354-5701,1466-4372,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Feminist legal studies,0966-3622,1572-8455,Springer,United Kingdom,Core Coverage - Actively Indexed
Feminist media studies,1468-0777,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Feminist review,0141-7789,,Palgrave Macmillan,United Kingdom,Core Coverage - Actively Indexed
Feminist studies,0046-3663,,Feminist Studies,U.S.A.,Core Coverage - Actively Indexed
Feminist theory,1464-7001,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Field methods,1525-822X,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Finance [Grenoble],0752-6180,2101-0145,Presses Universitaires de Grenoble,France,Core Coverage - Actively Indexed
Finance and stochastics,0949-2984,,Springer,Germany,Core Coverage - Actively Indexed
Finance et bien commun,1422-4658,,De Boeck Superieur,Belgium,Core Coverage - Actively Indexed
Finances et developpement,0430-473X,,IMF,U.S.A.,Core Coverage - Actively Indexed
Financial analysts journal,0015-198X,,CFA Institute,U.S.A.,Core Coverage - Actively Indexed
Financial history review,0968-5650,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Financial management,0046-3892,1755-053X,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
"Financial markets, institutions and instruments",0963-8008,,Blackwell Publishing,U.S.A.,Core Coverage - Actively Indexed
Financial theory and practice,1846-887X,1845-9757,Institute of Public Finance,Croatia,Core Coverage - Actively Indexed
Finansi Ukraini,,,Finansi Ukraini,Ukraine,Core Coverage - Actively Indexed
Finanzarchiv,0015-2218,,Mohr Siebeck GmbH,Germany,Core Coverage - Actively Indexed
Finanz-Betrieb: Zeitschrift fur Unternehmensfinanzierung und Finanzmanagement,1437-8981,,Handelsblatt,Germany,Selective Coverage - Actively Indexed
Finanzmarktstabilitatsbericht: OENB,,,Osterreichische Nationalbank,Austria,Selective Coverage - Actively Indexed
Finnish economic papers,0784-5197,,Finnish Society for Economic Research,Finland,Core Coverage - Actively Indexed
Fiscal studies,0143-5671,1475-5890,Wiley-Blackwell Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Flux: cahiers scientifiques internationaux reseaux et territoires,1154-2721,,LATTS,France,Selective Coverage - Actively Indexed
FOCAAL: European journal of anthropology,0920-1297,,Stichting Focaal,Netherlands,Core Coverage - Actively Indexed
Folia oeconomica stetinensia,1730-4237,1898-0198,Versita,Poland,Core Coverage - Actively Indexed
Folia primatologica,0015-5713,,Karger,Switzerland,Core Coverage - Actively Indexed
Folk life: journal of ethnological studies,0430-8778,1759-670X,Maney Publishing,United Kingdom,Core Coverage - Actively Indexed
Folklore,0015-587X,1469-8315,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Food and foodways,0740-9710,1542-3484,Taylor and Francis Ltd,U.S.A.,Core Coverage - Actively Indexed
Food policy,0306-9192,,Elsevier Science,United Kingdom,Core Coverage - Actively Indexed
"Food, culture and society",1552-8014,,Berg Publishers,United Kingdom,Core Coverage - Actively Indexed
Foreign affairs,0015-7120,,Council on Foreign Relations,U.S.A.,Core Coverage - Actively Indexed
Foreign policy,0015-7228,,The Foreign Policy Group LLC,U.S.A.,Core Coverage - Actively Indexed
Foreign policy analysis,1743-8586,1743-8594,Wiley-Blackwell,United Kingdom,Core Coverage - Actively Indexed
Foreign trade review,0015-7325,,Indian Institute of Foreign Trade,India,Core Coverage - Actively Indexed
Forman journal of economic studies,1990-391X,,Forman Christian College,Pakistan,Core Coverage - Actively Indexed
Formation emploi,0759-6340,,Documentation Francaise,France,Selective Coverage - Actively Indexed
Foro internacional,0185-013X,,El Colegio de Mexico,Mexico,Core Coverage - Actively Indexed
Foro interno: Anuario de Teoria Politica,1578-4576,,Publicaciones Universidad Complutense de Madrid,Spain,Core Coverage - Actively Indexed
Forschungsjournal Soziale Bewegungen,2192-4848,,Lucius & Lucius Verlagsgesellschaft,Germany,Core Coverage - Actively Indexed
Forum for development studies,0803-9410,,Norwegian Institute of International Affairs,Norway,Core Coverage - Actively Indexed
