Serial Title,ISSN (Print),ISSN (Electronic),Publisher Name,Country of Publication,International Bibliography of the Social Sciences (IBSS)
African journal of international affairs/Revue africaine de relations internationales,0850-7902,,CODESRIA,Senegal,Core Coverage - Actively Indexed
African journal of international and comparative law/Revue africaine de droit international et compare,0954-8890,,Edinburgh University Press,United Kingdom,Core Coverage - Actively Indexed
African journal of legal studies,1708-7384,,Africa Law Institute,Canada,Core Coverage - Actively Indexed
African journal of public affairs,1997-7441,,University of Pretoria,South Africa,Core Coverage - Actively Indexed
African security,1939-2206,,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
African social research,0002-0168,,Unza Press,Zambia,Core Coverage - Actively Indexed
African sociological review/Revue Africaine de sociologie,1027-4332,,CODESRIA - Council for the Development of Social Science Research in Africa,South Africa,Core Coverage - Actively Indexed
African studies,0002-0184,,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
African studies quarterly: the online journal of African studies,1093-2658,,University of Florida,U.S.A.,Core Coverage - Actively Indexed
African studies review,0002-0206,,African Studies Association,U.S.A.,Core Coverage - Actively Indexed
Afrika focus,0772-084X,2031-356X,Ghent University - ICRH,Belgium,Core Coverage - Actively Indexed
Afrique contemporaine,0002-0478,,De Boeck Universite,France,Selective Coverage - Actively Indexed
Afrique orientale,1627-1319,,L'Harmattan,France,Core Coverage - Actively Indexed
Afrique politique,1259-0614,,Le Monde Diplomatique,France,Core Coverage - Actively Indexed
Ageing and society,0144-686X,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Agenda,1013-0950,2158-978X,Taylor and Francis Ltd,South Africa,Core Coverage - Actively Indexed
Aggression and violent behavior,1359-1789,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Aging and mental health,1360-7863,,"Routledge, Taylor and Francis Ltd.",United Kingdom,Core Coverage - Actively Indexed
"Agrarwirtschaft: Zeitschrift fur Betriebswirtschaft, Marktforschung und Agrarpolitik",0002-1121,,Deutscher Fachverlag,Germany,Selective Coverage - Actively Indexed
Agrekon,0303-1853,2078-0400,Taylor & Francis,South Africa,Core Coverage - Actively Indexed
Agricultural history,0002-1482,,Agricultural History Society,U.S.A.,Core Coverage - Actively Indexed
AIDS care,0954-0121,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
AIDS education and prevention,0899-9546,,Guilford Publications Inc.,U.S.A.,Core Coverage - Actively Indexed
Akademika,0126- 5008,,Penerbit University Kebangsaan Malaysia,Malaysia,Core Coverage - Actively Indexed
Akdeniz IIBF dergisi,1302-9975,,Akdeniz Universitesi Iktisadi ve Idari Bilimler Fakultesi,Turkey,Core Coverage - Actively Indexed
Al-Abhath,0002-3973,,"American University of Beirut, Faculty of Arts and Sciences",Lebanon,Core Coverage - Actively Indexed
Aldea Mundo,1316-6727,,Universidad de los Andes,Venezuela,Core Coverage - Actively Indexed
Aletheia,1413-0394,,Revista Aletheia,Brazil,Core Coverage - Actively Indexed
Alma mater: Miesiecznik Uniwersytetu Jagiellonskiego,1427-1176,,Uniwersytet Jagiellonski,Poland,Selective Coverage - Actively Indexed
Alternatives,0304-3754,,Sage Publications Ltd,U.S.A.,Core Coverage - Actively Indexed
Alternatives economiques,0247-3739,,Alternatives Economiques,France,Core Coverage - Actively Indexed
Alternatives internationales,1634-6386,,Alternatives internationales,France,Core Coverage - Actively Indexed
Ambiente & sociedade,1414-753X,,Nucleo de Estudos e Pesquisas Ambientais (Nepam-Unicamp),Brazil,Core Coverage - Actively Indexed
American anthropologist,0002-7294,1548-1433,Wiley-Blackwell Publishing Inc.,U.S.A.,Core Coverage - Actively Indexed
American behavioral scientist,0002-7642,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
American economic review,0002-8282,,American Economic Association,U.S.A.,Core Coverage - Actively Indexed
American ethnologist,0094-0496,1548-1425,Wiley-Blackwell Publishing Inc.,U.S.A.,Core Coverage - Actively Indexed
American foreign policy interests,1080-3920,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
American historical review,0002-8762,,Oxford University Press,U.S.A.,Core Coverage - Actively Indexed
American journal of agricultural economics,0002-9092,,Oxford University Press,U.S.A.,Core Coverage - Actively Indexed
American journal of comparative law,0002-919X,,American Association for the Comparative Study of Law,U.S.A.,Core Coverage - Actively Indexed
American journal of economics and sociology,0002-9246,1536-7150,Wiley-Blackwell Publishing Ltd.,U.S.A.,Core Coverage - Actively Indexed
American journal of international law,0002-9300,,American Society of International Law,U.S.A.,Core Coverage - Actively Indexed
American journal of physical anthropology,0002-9483,,John Wiley & Sons,U.S.A.,Core Coverage - Actively Indexed
American journal of political science,0092-5853,1540-5907,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
American journal of primatology,0275-2565,,John Wiley & Sons,U.S.A.,Core Coverage - Actively Indexed
American journal of sociology,0002-9602,,University of Chicago Press,U.S.A.,Core Coverage - Actively Indexed
American philosophical quarterly,0003-0481,2152-1123,University of Illinois Press,U.S.A.,Core Coverage - Actively Indexed
American political science review,0003-0554,,Cambridge University Press,U.S.A.,Core Coverage - Actively Indexed
American politics research,1532-673X,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
American psychologist,0003-066X,,American Psychological Association,U.S.A.,Core Coverage - Actively Indexed
American review of Canadian studies,0272-2011,1943-9954,Taylor and Francis Inc,U.S.A.,Core Coverage - Actively Indexed
